"","predicted_labels","test_labels"
"1","Field","Field"
"2","Long","Jump"
"3","Short","Short"
"4","Long","Jump"
"5","Short","Jump"
"6","Field","Field"
"7","Field","Field"
"8","Long","Field"
"9","Short","Short"
"10","Short","Short"
"11","Long","Short"
"12","Short","Short"
"13","Short","Short"
"14","Short","Short"
"15","Short","Long"
"16","Long","Long"
"17","Short","Long"
"18","Short","Field"
"19","Short","Long"
"20","Long","Long"
"21","Short","Long"
"22","Short","Long"
"23","Long","Long"
"24","Short","Short"
"25","Long","Short"
"26","Short","Short"
"27","Short","Short"
"28","Long","Short"
"29","Field","Field"
"30","Short","Short"
"31","Short","Long"
"32","Short","Long"
"33","Short","Long"
"34","Short","Short"
"35","Long","Short"
"36","Short","Short"
"37","Short","Jump"
"38","Short","Jump"
"39","Long","Long"
"40","Short","Mid"
"41","Short","Short"
"42","Short","Short"
"43","Short","Short"
"44","Short","Short"
"45","Short","Jump"
"46","Field","Field"
"47","Short","Short"
"48","Field","Field"
"49","Short","Short"
"50","Long","Mid"
"51","Short","Long"
"52","Long","Long"
"53","Short","Long"
"54","Short","Short"
"55","Long","Long"
"56","Short","Short"
"57","Long","Short"
"58","Short","Short"
"59","Short","Short"
"60","Short","Jump"
"61","Mid","Mid"
"62","Long","Mid"
"63","Field","Field"
"64","Field","Field"
"65","Short","Short"
"66","Short","Short"
"67","Short","Jump"
"68","Short","Short"
"69","Field","Jump"
"70","Long","Short"
"71","Long","Short"
"72","Short","Short"
"73","Short","Short"
"74","Long","Jump"
"75","Short","Short"
"76","Long","Short"
"77","Short","Long"
"78","Short","Long"
"79","Short","Jump"
"80","Short","Jump"
"81","Short","Short"
"82","Long","Long"
"83","Short","Short"
"84","Short","Short"
"85","Short","Short"
"86","Short","Short"
"87","Short","Short"
"88","Long","Short"
"89","Short","Short"
"90","Short","Mid"
"91","Short","Short"
"92","Long","Long"
"93","Jump","Short"
"94","Long","Short"
"95","Short","Short"
"96","Short","Short"
"97","Long","Short"
"98","Field","Field"
"99","Field","Field"
"100","Long","Short"
"101","Short","Short"
"102","Short","Long"
"103","Short","Short"
"104","Short","Short"
"105","Short","Short"
"106","Short","Jump"
"107","Short","Jump"
"108","Short","Short"
"109","Long","Short"
"110","Short","Short"
"111","Short","Short"
"112","Short","Long"
"113","Long","Short"
"114","Long","Long"
"115","Short","Short"
"116","Long","Long"
"117","Short","Long"
"118","Short","Jump"
"119","Long","Long"
"120","Short","Short"
"121","Long","Jump"
"122","Long","Jump"
"123","Short","Short"
"124","Short","Jump"
"125","Short","Long"
"126","Field","Jump"
"127","Short","Jump"
"128","Long","Short"
"129","Short","Long"
"130","Short","Short"
"131","Field","Field"
"132","Short","Mid"
"133","Long","Mid"
"134","Short","Long"
"135","Short","Mid"
"136","Short","Mid"
"137","Short","Long"
"138","Short","Jump"
"139","Short","Short"
"140","Short","Short"
"141","Short","Short"
"142","Short","Short"
"143","Short","Short"
"144","Short","Short"
"145","Short","Short"
"146","Short","Long"
"147","Field","Field"
"148","Field","Field"
"149","Short","Short"
"150","Short","Short"
"151","Short","Short"
"152","Field","Field"
"153","Mid","Long"
"154","Field","Field"
"155","Long","Long"
"156","Short","Short"
"157","Short","Mid"
"158","Short","Short"
"159","Field","Short"
"160","Field","Short"
"161","Short","Long"
"162","Short","Short"
"163","Short","Jump"
"164","Short","Jump"
"165","Short","Long"
"166","Short","Short"
"167","Long","Mid"
"168","Short","Short"
"169","Short","Mid"
"170","Field","Field"
"171","Long","Short"
"172","Long","Short"
"173","Jump","Short"
"174","Field","Field"
"175","Short","Short"
"176","Short","Mid"
"177","Long","Long"
"178","Long","Long"
"179","Long","Short"
"180","Long","Short"
"181","Long","Short"
"182","Jump","Short"
"183","Mid","Short"
"184","Long","Short"
"185","Jump","Long"
"186","Long","Short"
"187","Long","Short"
"188","Long","Short"
"189","Short","Short"
"190","Jump","Field"
"191","Long","Short"
"192","Long","Short"
"193","Field","Field"
"194","Short","Short"
"195","Mid","Long"
"196","Short","Short"
"197","Long","Long"
"198","Long","Mid"
"199","Short","Short"
"200","Short","Jump"
"201","Short","Short"
"202","Long","Long"
"203","Long","Long"
"204","Long","Field"
"205","Short","Mid"
"206","Short","Short"
"207","Short","Short"
"208","Short","Jump"
"209","Short","Jump"
"210","Short","Short"
"211","Short","Mid"
"212","Short","Mid"
"213","Long","Long"
"214","Jump","Short"
"215","Long","Short"
"216","Short","Mid"
"217","Short","Long"
"218","Long","Long"
"219","Short","Short"
"220","Field","Field"
"221","Long","Short"
"222","Short","Mid"
"223","Jump","Short"
"224","Long","Short"
"225","Short","Short"
"226","Long","Long"
"227","Short","Short"
"228","Short","Short"
"229","Short","Short"
"230","Field","Field"
"231","Short","Long"
"232","Long","Mid"
"233","Short","Short"
"234","Short","Short"
"235","Short","Short"
"236","Field","Field"
"237","Short","Long"
"238","Long","Long"
"239","Short","Jump"
"240","Short","Short"
"241","Short","Jump"
"242","Short","Jump"
"243","Long","Short"
"244","Short","Short"
"245","Short","Long"
"246","Short","Mid"
"247","Short","Short"
"248","Short","Jump"
"249","Field","Short"
"250","Long","Short"
"251","Long","Short"
"252","Short","Jump"
"253","Short","Jump"
"254","Jump","Long"
"255","Short","Short"
"256","Long","Short"
"257","Long","Short"
"258","Long","Short"
"259","Mid","Mid"
"260","Long","Mid"
"261","Jump","Short"
"262","Short","Short"
"263","Mid","Mid"
"264","Short","Short"
"265","Long","Long"
"266","Short","Short"
"267","Short","Short"
"268","Long","Short"
"269","Short","Mid"
"270","Short","Short"
"271","Short","Jump"
"272","Long","Long"
"273","Short","Short"
"274","Short","Short"
"275","Short","Short"
"276","Short","Short"
"277","Short","Short"
"278","Short","Jump"
"279","Short","Long"
"280","Short","Short"
"281","Field","Long"
"282","Short","Short"
"283","Short","Short"
"284","Long","Long"
"285","Short","Mid"
"286","Short","Short"
"287","Short","Jump"
"288","Short","Short"
"289","Short","Long"
"290","Short","Short"
"291","Short","Short"
"292","Long","Long"
"293","Long","Long"
"294","Short","Short"
"295","Short","Jump"
"296","Field","Field"
"297","Long","Long"
"298","Long","Long"
"299","Short","Long"
"300","Short","Mid"
"301","Mid","Long"
"302","Jump","Short"
"303","Short","Short"
"304","Jump","Field"
"305","Long","Long"
"306","Short","Short"
"307","Short","Short"
"308","Short","Long"
"309","Short","Short"
"310","Short","Mid"
"311","Short","Short"
"312","Short","Short"
"313","Short","Jump"
"314","Short","Short"
"315","Long","Mid"
"316","Short","Short"
"317","Field","Field"
"318","Short","Short"
"319","Short","Short"
"320","Short","Short"
"321","Long","Short"
"322","Short","Short"
"323","Short","Mid"
"324","Short","Mid"
"325","Short","Short"
"326","Long","Short"
"327","Short","Long"
"328","Short","Long"
"329","Long","Long"
"330","Long","Jump"
"331","Short","Long"
"332","Short","Long"
"333","Field","Field"
"334","Long","Long"
"335","Long","Long"
"336","Short","Long"
"337","Field","Field"
"338","Short","Short"
"339","Short","Long"
"340","Field","Field"
"341","Jump","Short"
"342","Short","Short"
"343","Short","Field"
"344","Short","Short"
"345","Short","Short"
"346","Long","Long"
"347","Jump","Field"
"348","Short","Jump"
"349","Short","Short"
"350","Short","Short"
"351","Short","Jump"
"352","Field","Field"
"353","Jump","Short"
"354","Short","Long"
"355","Short","Mid"
"356","Short","Short"
"357","Long","Long"
"358","Short","Jump"
"359","Long","Long"
"360","Long","Long"
"361","Long","Long"
"362","Short","Short"
"363","Short","Jump"
"364","Jump","Short"
"365","Short","Field"
"366","Short","Jump"
"367","Short","Short"
"368","Long","Short"
"369","Long","Long"
"370","Short","Short"
"371","Jump","Short"
"372","Jump","Short"
"373","Short","Short"
"374","Field","Field"
"375","Short","Short"
"376","Short","Jump"
"377","Short","Jump"
"378","Short","Jump"
"379","Field","Field"
"380","Long","Field"
"381","Short","Short"
"382","Short","Short"
"383","Long","Long"
"384","Long","Long"
"385","Short","Short"
"386","Short","Short"
"387","Long","Long"
"388","Long","Long"
"389","Short","Jump"
"390","Long","Long"
"391","Long","Long"
"392","Long","Mid"
"393","Field","Short"
"394","Long","Long"
"395","Long","Short"
"396","Jump","Field"
"397","Long","Short"
"398","Long","Short"
"399","Short","Short"
"400","Short","Short"
"401","Short","Long"
"402","Field","Field"
"403","Jump","Short"
"404","Jump","Field"
"405","Short","Short"
"406","Long","Long"
"407","Short","Mid"
"408","Field","Field"
"409","Mid","Long"
"410","Long","Long"
"411","Field","Field"
"412","Short","Mid"
"413","Long","Short"
"414","Short","Jump"
"415","Short","Jump"
"416","Long","Long"
"417","Long","Long"
"418","Long","Short"
"419","Long","Long"
"420","Short","Long"
"421","Field","Field"
"422","Short","Short"
"423","Short","Long"
"424","Long","Short"
"425","Short","Long"
"426","Long","Short"
"427","Short","Jump"
"428","Short","Short"
"429","Long","Short"
"430","Short","Short"
"431","Field","Field"
"432","Short","Short"
"433","Field","Field"
"434","Short","Long"
"435","Long","Long"
"436","Field","Field"
"437","Short","Short"
"438","Field","Short"
"439","Field","Short"
"440","Short","Short"
"441","Field","Field"
"442","Short","Long"
"443","Short","Jump"
"444","Short","Jump"
"445","Short","Mid"
"446","Short","Mid"
"447","Long","Short"
"448","Long","Short"
"449","Short","Long"
"450","Long","Short"
"451","Short","Short"
"452","Short","Short"
"453","Short","Short"
"454","Long","Long"
"455","Long","Short"
"456","Long","Short"
"457","Long","Long"
"458","Short","Short"
"459","Short","Short"
"460","Short","Short"
