"","predicted_labels","test_labels"
"1","Gymnastics","Gymnastics"
"2","Gymnastics","Gymnastics"
"3","Gymnastics","Gymnastics"
"4","Gymnastics","Gymnastics"
"5","Gymnastics","Gymnastics"
"6","Gymnastics","Gymnastics"
"7","Gymnastics","Gymnastics"
"8","Gymnastics","Gymnastics"
"9","Gymnastics","Rowing"
"10","Swimming","Swimming"
"11","Swimming","Swimming"
"12","Gymnastics","Gymnastics"
"13","Gymnastics","Gymnastics"
"14","Swimming","Rowing"
"15","Gymnastics","Fencing"
"16","Swimming","Swimming"
"17","Swimming","Cycling"
"18","Gymnastics","Fencing"
"19","Gymnastics","Rowing"
"20","Swimming","Rowing"
"21","Gymnastics","Rowing"
"22","Swimming","Rowing"
"23","Gymnastics","Swimming"
"24","Swimming","Swimming"
"25","Gymnastics","Gymnastics"
"26","Gymnastics","Gymnastics"
"27","Gymnastics","Gymnastics"
"28","Swimming","Swimming"
"29","Gymnastics","Swimming"
"30","Gymnastics","Fencing"
"31","Gymnastics","Fencing"
"32","Swimming","Gymnastics"
"33","Swimming","Gymnastics"
"34","Swimming","Gymnastics"
"35","Gymnastics","Gymnastics"
"36","Swimming","Gymnastics"
"37","Swimming","Gymnastics"
"38","Swimming","Gymnastics"
"39","Gymnastics","Rowing"
"40","Gymnastics","Rowing"
"41","Cycling","Gymnastics"
"42","Gymnastics","Gymnastics"
"43","Swimming","Swimming"
"44","Swimming","Swimming"
"45","Swimming","Swimming"
"46","Gymnastics","Swimming"
"47","Gymnastics","Cycling"
"48","Gymnastics","Cycling"
"49","Gymnastics","Cycling"
"50","Swimming","Fencing"
"51","Swimming","Swimming"
"52","Gymnastics","Swimming"
"53","Gymnastics","Swimming"
"54","Swimming","Rowing"
"55","Gymnastics","Fencing"
"56","Gymnastics","Fencing"
"57","Swimming","Swimming"
"58","Gymnastics","Gymnastics"
"59","Swimming","Swimming"
"60","Gymnastics","Cycling"
"61","Swimming","Swimming"
"62","Gymnastics","Gymnastics"
"63","Gymnastics","Gymnastics"
"64","Gymnastics","Gymnastics"
"65","Gymnastics","Gymnastics"
"66","Cycling","Gymnastics"
"67","Cycling","Gymnastics"
"68","Cycling","Gymnastics"
"69","Swimming","Fencing"
"70","Swimming","Gymnastics"
"71","Swimming","Gymnastics"
"72","Swimming","Gymnastics"
"73","Gymnastics","Cycling"
"74","Swimming","Fencing"
"75","Gymnastics","Rowing"
"76","Swimming","Swimming"
"77","Swimming","Cycling"
"78","Swimming","Rowing"
"79","Gymnastics","Gymnastics"
"80","Gymnastics","Gymnastics"
"81","Gymnastics","Gymnastics"
"82","Gymnastics","Fencing"
"83","Gymnastics","Fencing"
"84","Gymnastics","Rowing"
"85","Gymnastics","Cycling"
"86","Gymnastics","Swimming"
"87","Swimming","Cycling"
"88","Swimming","Swimming"
"89","Swimming","Swimming"
"90","Swimming","Swimming"
"91","Swimming","Gymnastics"
"92","Swimming","Swimming"
"93","Swimming","Swimming"
"94","Swimming","Gymnastics"
"95","Swimming","Gymnastics"
"96","Swimming","Gymnastics"
"97","Swimming","Swimming"
"98","Swimming","Swimming"
"99","Swimming","Swimming"
"100","Swimming","Swimming"
"101","Swimming","Swimming"
"102","Gymnastics","Cycling"
"103","Gymnastics","Cycling"
"104","Swimming","Gymnastics"
"105","Swimming","Gymnastics"
"106","Swimming","Swimming"
"107","Gymnastics","Swimming"
"108","Swimming","Gymnastics"
"109","Swimming","Gymnastics"
"110","Swimming","Swimming"
"111","Swimming","Rowing"
"112","Swimming","Swimming"
"113","Swimming","Swimming"
"114","Swimming","Swimming"
"115","Swimming","Swimming"
"116","Swimming","Swimming"
"117","Gymnastics","Fencing"
"118","Gymnastics","Fencing"
"119","Swimming","Rowing"
"120","Gymnastics","Gymnastics"
"121","Gymnastics","Gymnastics"
"122","Gymnastics","Gymnastics"
"123","Swimming","Swimming"
"124","Swimming","Swimming"
"125","Swimming","Swimming"
"126","Swimming","Swimming"
"127","Gymnastics","Rowing"
"128","Gymnastics","Rowing"
"129","Swimming","Rowing"
"130","Swimming","Rowing"
"131","Swimming","Rowing"
"132","Gymnastics","Gymnastics"
"133","Gymnastics","Gymnastics"
"134","Gymnastics","Gymnastics"
"135","Gymnastics","Gymnastics"
"136","Gymnastics","Gymnastics"
"137","Swimming","Swimming"
"138","Gymnastics","Cycling"
"139","Gymnastics","Cycling"
"140","Swimming","Swimming"
"141","Swimming","Swimming"
"142","Gymnastics","Cycling"
"143","Gymnastics","Fencing"
"144","Gymnastics","Fencing"
"145","Gymnastics","Cycling"
"146","Swimming","Swimming"
"147","Swimming","Swimming"
"148","Swimming","Fencing"
"149","Swimming","Swimming"
"150","Swimming","Gymnastics"
"151","Swimming","Gymnastics"
"152","Swimming","Swimming"
"153","Swimming","Rowing"
"154","Swimming","Swimming"
"155","Swimming","Swimming"
"156","Swimming","Fencing"
"157","Swimming","Fencing"
"158","Swimming","Swimming"
"159","Swimming","Swimming"
"160","Swimming","Swimming"
"161","Gymnastics","Cycling"
"162","Swimming","Fencing"
"163","Gymnastics","Gymnastics"
"164","Gymnastics","Swimming"
"165","Gymnastics","Swimming"
"166","Swimming","Swimming"
"167","Swimming","Fencing"
"168","Swimming","Fencing"
"169","Swimming","Swimming"
"170","Swimming","Fencing"
"171","Swimming","Swimming"
"172","Cycling","Fencing"
"173","Swimming","Swimming"
"174","Gymnastics","Swimming"
"175","Gymnastics","Swimming"
"176","Gymnastics","Swimming"
"177","Fencing","Swimming"
"178","Gymnastics","Rowing"
"179","Swimming","Fencing"
"180","Swimming","Fencing"
"181","Fencing","Swimming"
"182","Swimming","Swimming"
"183","Swimming","Rowing"
"184","Gymnastics","Cycling"
"185","Gymnastics","Cycling"
"186","Gymnastics","Cycling"
"187","Swimming","Gymnastics"
"188","Swimming","Gymnastics"
"189","Swimming","Gymnastics"
"190","Swimming","Gymnastics"
"191","Swimming","Swimming"
"192","Gymnastics","Cycling"
"193","Swimming","Cycling"
"194","Gymnastics","Cycling"
"195","Swimming","Swimming"
"196","Gymnastics","Cycling"
"197","Swimming","Swimming"
"198","Swimming","Swimming"
